epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.39627,6.00254,4.47507,4.25836,0,0,0,0,5.9611,4.06314,4.16011,3.334e-05,3.334e-05,3.334e-05
2,4.5938,5.92811,4.34145,4.28268,0,0,0,0,5.96124,4.06391,4.16147,8.05995e-05,8.05995e-05,8.05995e-05
3,5.65011,5.43619,4.19917,4.25531,0,0,0,0,5.96171,4.06414,4.16243,0.000124558,0.000124558,0.000124558
4,6.76756,5.6984,4.24138,4.21939,0,0,0,0,5.96171,4.06414,4.16384,0.000165216,0.000165216,0.000165216
5,7.83855,5.65225,4.14056,4.1856,0,0,0,0,5.96492,4.06646,4.16545,0.000202574,0.000202574,0.000202574
6,8.86704,5.1981,3.96543,4.23008,0,0,0,0,5.96479,4.06933,4.16633,0.000236631,0.000236631,0.000236631
7,9.89483,5.37255,3.81424,4.09942,0.00025,0.00136,0.00013,1e-05,5.96521,4.0741,4.17053,0.000267387,0.000267387,0.000267387
8,11.0038,5.68172,3.79256,4.01171,0.00025,0.00136,0.00013,1e-05,5.9645,4.07744,4.17229,0.000294842,0.000294842,0.000294842
9,12.0952,5.38009,3.69435,4.05053,0.00025,0.00136,0.00013,1e-05,5.96707,4.08968,4.17912,0.000318997,0.000318997,0.000318997
10,13.1509,5.58745,3.66793,3.90743,0.00025,0.00136,0.00013,1e-05,5.96785,4.09614,4.18282,0.000339851,0.000339851,0.000339851
11,14.3078,5.16438,3.32023,3.83532,0.00025,0.00136,0.00013,1e-05,5.97069,4.11314,4.19242,0.000357405,0.000357405,0.000357405
12,15.4133,5.018,3.23982,3.78293,0.00025,0.00136,0.00013,3e-05,5.97078,4.11722,4.19503,0.000371658,0.000371658,0.000371658
13,16.6106,4.73544,3.11847,3.85614,0.00025,0.00136,0.00013,3e-05,5.97617,4.09824,4.2153,0.00038261,0.00038261,0.00038261
14,17.7702,4.84693,3.03719,3.64935,0.00033,0.00136,0.00017,3e-05,5.97771,4.10978,4.22774,0.000390261,0.000390261,0.000390261
15,18.8611,4.50877,3.08443,3.76346,0.00033,0.00136,0.00017,3e-05,5.98473,4.15668,4.25791,0.000394612,0.000394612,0.000394612
16,19.9334,4.40165,2.88635,3.6197,0.00033,0.00136,0.00017,3e-05,5.98757,4.1692,4.27202,0.000395662,0.000395662,0.000395662
17,21.0924,4.37536,2.9911,3.70487,0.00033,0.00136,0.00017,3e-05,5.99214,4.19477,4.29412,0.000393412,0.000393412,0.000393412
18,22.1526,4.39047,2.89559,3.49793,0.00033,0.00136,0.00017,3e-05,5.99394,4.21131,4.30716,0.000387861,0.000387861,0.000387861
19,23.2503,4.28152,2.76906,3.45804,0.00033,0.00136,0.00017,3e-05,5.99875,4.24412,4.33135,0.000379009,0.000379009,0.000379009
20,24.3681,4.38947,2.73948,3.31252,0.00033,0.00136,0.00017,3e-05,6.00111,4.26715,4.34778,0.000366857,0.000366857,0.000366857
21,47.3288,3.82766,2.62823,3.37482,0.00033,0.00136,0.00017,3e-05,6.00624,4.29873,4.37195,0.000351404,0.000351404,0.000351404
22,48.3305,3.83186,2.62112,3.32725,0.00033,0.00136,0.00017,3e-05,6.00935,4.32728,4.39286,0.00033265,0.00033265,0.00033265
23,49.3216,3.91784,2.65515,3.24764,0.00033,0.00136,0.00017,3e-05,6.01252,4.36303,4.42007,0.000310595,0.000310595,0.000310595
24,50.318,3.86806,2.71839,3.25241,0.00033,0.00136,0.00017,3e-05,6.01672,4.40602,4.44941,0.00028524,0.00028524,0.00028524
25,51.3342,3.75394,2.59562,3.26724,0.00033,0.00136,0.00017,3e-05,6.0195,4.44786,4.47973,0.000256585,0.000256585,0.000256585
26,52.3528,3.67912,2.58307,3.26573,0.00033,0.00136,0.00017,3e-05,6.02234,4.48502,4.50482,0.000224628,0.000224628,0.000224628
27,53.3652,3.98737,2.62532,3.0646,0.00033,0.00136,0.00017,3e-05,6.02271,4.49719,4.5126,0.000189371,0.000189371,0.000189371
28,54.3513,3.77717,2.44645,2.99388,0.00033,0.00136,0.00017,3e-05,6.02371,4.50003,4.51412,0.000150813,0.000150813,0.000150813
29,55.3268,3.7456,2.45204,3.06206,0.00033,0.00136,0.00017,3e-05,6.02371,4.50003,4.51412,0.000108955,0.000108955,0.000108955
30,56.3094,3.77153,2.54411,3.05417,0.00033,0.00136,0.00017,3e-05,6.02113,4.47439,4.49196,6.37961e-05,6.37961e-05,6.37961e-05
